ticker;date_from;date_to;t;price;step_backward;nbre_generation;t_until_critical_point;days_before_critical_time;m;omega;tc;A;B;C1;C2
S5REID;03.10.2011;07.01.2014;2014.017;33.54;-122;50;1.987597296;725;0.134225041;5.007500163;2016.004597;6.743813127;-2.898238502;0.074833868;-0.078481436
S5REID;03.10.2011;06.01.2014;2014.014;33.25;-123;50;1.999591025;729;0.102520817;5.004306463;2016.013591;7.839383777;-3.979896365;0.080269282;-0.080256981
S5REID;03.10.2011;03.01.2014;2014.006;33.1;-126;50;1.996400843;728;0.10238201;5.011428244;2016.002401;7.837238134;-3.979199631;0.078901884;-0.08043984
S5REID;03.10.2011;02.01.2014;2014.003;32.81;-127;50;1.993966409;727;0.100437418;5.000539579;2015.996966;7.94029262;-4.08082339;0.077817867;-0.081910406
S5REID;03.10.2011;01.01.2014;2014;32.85;-128;50;1.994128915;727;0.111229444;5.000587741;2015.994129;7.512799582;-3.654323266;0.076420839;-0.080683634
S5REID;03.10.2011;31.12.2013;2014;32.85;-129;50;1.997164478;728;0.101530072;5.003261643;2015.997164;7.924243287;-4.061347873;0.078360958;-0.080835437
S5REID;03.10.2011;30.12.2013;2013.997;33.06;-130;50;1.999013853;729;0.101389203;5.000394824;2015.996014;7.964583882;-4.098179074;0.07849195;-0.080586503
S5FERT;03.10.2011;09.05.2014;2014.356;1356.79;0;50;0.002054301;0;0.770278817;5.084943905;2014.358054;7.226355564;-0.12918576;0.030538696;0.040483981
S5FERT;03.10.2011;08.05.2014;2014.353;1363.53;-1;50;0.002025335;0;0.76769694;5.075525249;2014.355025;7.226265004;-0.129452107;0.031301729;0.040214024
S5FERT;03.10.2011;07.05.2014;2014.35;1368.15;-2;50;0.002003289;0;0.761827908;5.058923507;2014.352003;7.226557298;-0.130225751;0.032253364;0.039964868
S5FERT;03.10.2011;06.05.2014;2014.347;1351.26;-3;50;0.002018872;0;0.761743844;5.042077165;2014.349019;7.226035041;-0.129999532;0.03308291;0.03946355
S5FERT;03.10.2011;05.05.2014;2014.344;1364.16;-4;50;0.002054406;0;0.757283371;5.023197511;2014.346054;7.226183593;-0.130573598;0.034012803;0.039080555
S5FERT;03.10.2011;02.05.2014;2014.336;1343.4;-7;50;0.002550569;0;0.764366538;5.0058947;2014.338551;7.223888805;-0.128763231;0.035511351;0.037826141
S5FERT;03.10.2011;01.05.2014;2014.333;1326.22;-8;50;0.002182061;0;0.753259304;5.000581766;2014.335182;7.225010846;-0.130518116;0.036453178;0.037814973
S5FERT;03.10.2011;30.04.2014;2014.331;1333.62;-9;50;0.007393541;2;0.89251353;5.276631863;2014.338394;7.211438723;-0.112000436;0.028324416;0.036438513
S5FERT;03.10.2011;29.04.2014;2014.328;1330.61;-10;50;0.002104434;0;0.742564812;5.00453333;2014.330104;7.226374858;-0.132538749;0.037502887;0.037666167
S5FERT;03.10.2011;28.04.2014;2014.325;1326.05;-11;50;0.003801385;1;0.734101875;5.000088271;2014.328801;7.227691387;-0.134188541;0.037972748;0.037733408
S5FERT;03.10.2011;25.04.2014;2014.317;1318.59;-14;50;0.01093693;3;0.727121869;5.000183021;2014.327937;7.2289512;-0.135682995;0.038247454;0.037858282
S5FERT;03.10.2011;24.04.2014;2014.314;1322.38;-15;50;0.014256103;5;0.695992318;5.022391259;2014.328256;7.234523298;-0.14212071;0.038577238;0.039385136
S5FERT;03.10.2011;23.04.2014;2014.311;1337.14;-16;50;0.013849834;5;0.726209544;5.000025511;2014.32485;7.229351669;-0.136244877;0.038705916;0.037439393
S5FERT;03.10.2011;22.04.2014;2014.308;1335.61;-17;50;0.017436547;6;0.723747654;5.001561279;2014.325437;7.230083802;-0.13695293;0.038593307;0.037596275
S5FERT;03.10.2011;21.04.2014;2014.306;1340.49;-18;50;0.016550889;6;0.736838969;5.001658959;2014.322551;7.227841951;-0.134513875;0.038738478;0.036738128
S5FERT;03.10.2011;18.04.2014;2014.294;1342.29;-21;50;0.033235785;12;0.704412085;5.000813594;2014.327236;7.23406078;-0.141278282;0.038670015;0.038457248
S5FERT;03.10.2011;17.04.2014;2014.294;1342.29;-22;50;0.033879963;12;0.701351915;5.000159079;2014.32788;7.234697087;-0.141952362;0.038632432;0.038637285
S5FERT;03.10.2011;16.04.2014;2014.292;1342.98;-23;50;0.033514892;12;0.691102138;5.000396197;2014.325515;7.236278265;-0.144037815;0.03929765;0.038721347
S5FERT;03.10.2011;15.04.2014;2014.289;1320.96;-24;50;0.041292791;15;0.706153073;5.000698319;2014.330293;7.234733455;-0.141530105;0.037965715;0.038703992
S5FERT;03.10.2011;14.04.2014;2014.286;1313.64;-25;50;0.036767189;13;0.689262795;5.0000234;2014.322767;7.236777838;-0.144726462;0.039753334;0.038387059
S5FERT;03.10.2011;11.04.2014;2014.278;1314.5;-28;50;0.039363993;14;0.681019721;5.000089223;2014.317364;7.237799793;-0.146421735;0.040899448;0.03796204
S5FERT;03.10.2011;10.04.2014;2014.275;1338.64;-29;50;0.040530293;14;0.674744111;5.000199963;2014.31553;7.239083497;-0.147996441;0.041322823;0.037910639
S5FERT;03.10.2011;09.04.2014;2014.272;1368.78;-30;50;0.041569266;15;0.673649278;5.000020509;2014.313569;7.239176576;-0.148265368;0.041677168;0.037665422
S5FERT;03.10.2011;08.04.2014;2014.269;1349.79;-31;50;0.045932188;16;0.675399503;5.000118878;2014.314932;7.239025373;-0.147943007;0.041385901;0.037791432
S5FERT;03.10.2011;07.04.2014;2014.267;1342.85;-32;50;0.04594905;16;0.675714418;5.000006374;2014.312949;7.238728573;-0.147800905;0.041728505;0.037503212
S5FERT;03.10.2011;04.04.2014;2014.258;1366.16;-35;50;0.051277837;18;0.667460807;5.000186008;2014.309278;7.239885877;-0.149520806;0.042584471;0.037275527
S5FERT;03.10.2011;03.04.2014;2014.256;1392.73;-36;50;0.055014544;20;0.681007302;5.001945575;2014.311015;7.237480923;-0.146553186;0.041903883;0.037082095
S5FERT;03.10.2011;02.04.2014;2014.253;1377.25;-37;50;0.056767162;20;0.681923655;5.00059209;2014.309767;7.23676366;-0.145983201;0.042186079;0.036898558
S5FERT;03.10.2011;01.04.2014;2014.25;1376.06;-38;50;0.059984696;21;0.677510527;5.000430115;2014.309985;7.237413897;-0.146789058;0.042301467;0.037106502
S5FERT;03.10.2011;31.03.2014;2014.25;1370.56;-39;50;0.059507051;21;0.679543583;5.000084817;2014.309507;7.236750188;-0.14614369;0.042372495;0.036989368
S5FERT;03.10.2011;28.03.2014;2014.242;1352.5;-42;50;0.066236706;24;0.685223042;5.000136496;2014.308237;7.235319425;-0.144684782;0.042481531;0.03663767
S5FERT;03.10.2011;27.03.2014;2014.239;1335.53;-43;50;0.069553603;25;0.681945591;5.000097293;2014.308554;7.23601058;-0.145441279;0.042506578;0.036790678
